********************************************************************************
# second question #
(0,)
When err is 0 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 1 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 2 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 3 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 4 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 5 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 6 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 7 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 8 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 9 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 10 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 11 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 12 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 13 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 14 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 15 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 16 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 17 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 18 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 19 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 20 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 21 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 22 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 23 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 24 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 25 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 26 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 27 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 28 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 29 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 30 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 31 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 32 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 33 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 34 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
(1,)
When err is 0 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 1 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 2 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 3 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 4 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 5 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 6 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 7 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 8 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 9 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 10 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 11 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 12 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 13 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 14 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 15 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 16 , missing ERR rate: 0.0 , mistake ERR rate: 0.0
When err is 17 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 18 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 19 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 20 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 21 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 22 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 23 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 24 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
When err is 25 , missing ERR rate: 0.0285714285714 , mistake ERR rate: 0.0285714285714
